,Num,Predicted Val,Actual Val,Bias
Data176,176.0,22.087,23.2,1.113
Data177,177.0,24.927,24.6,0.327
Data178,178.0,24.927,29.9,4.973
Data179,179.0,31.066,37.2,6.134
Data180,180.0,31.271,39.8,8.529
Data181,181.0,23.555,36.2,12.645
Data182,182.0,31.066,37.9,6.834
Data183,183.0,24.927,32.5,7.573
Data184,184.0,20.377,26.4,6.023
Data185,185.0,22.087,29.6,7.513
Data186,186.0,33.705,50.0,16.295
Data187,187.0,28.933,32.0,3.067
Data188,188.0,26.932,29.8,2.868
Data189,189.0,31.057,34.9,3.843
Data190,190.0,29.426,37.0,7.574
Data191,191.0,28.563,30.5,1.937
Data192,192.0,32.39,36.4,4.01
Data193,193.0,28.563,31.1,2.537
Data194,194.0,26.932,29.1,2.168
Data195,195.0,42.589,50.0,7.411
Data196,196.0,35.94,33.3,2.64
Data197,197.0,28.794,30.3,1.506
Data198,198.0,31.764,34.6,2.836
Data199,199.0,31.403,34.9,3.497
Data200,200.0,31.403,32.9,1.497
Data201,201.0,25.163,24.1,1.063
Data202,202.0,39.377,42.3,2.923
Data203,203.0,42.589,48.5,5.911
Data204,204.0,42.589,50.0,7.411
Data205,205.0,21.5,22.6,1.1
Data206,206.0,22.087,24.4,2.313
Data207,207.0,20.377,22.5,2.123
Data208,208.0,20.377,24.4,4.023
Data209,209.0,20.377,20.0,0.377
Data210,210.0,20.377,21.7,1.323
Data211,211.0,20.377,19.3,1.077
Data212,212.0,20.377,22.4,2.023
Data213,213.0,23.555,28.1,4.545
Data214,214.0,19.158,23.7,4.542
Data215,215.0,23.555,25.0,1.445
Data216,216.0,20.377,23.3,2.923
Data217,217.0,24.45,28.7,4.25
Data218,218.0,20.377,21.5,1.123
Data219,219.0,22.087,23.0,0.913
Data220,220.0,24.45,26.7,2.25
Data221,221.0,20.377,21.7,1.323
Data222,222.0,24.45,27.5,3.05
Data223,223.0,24.927,30.1,5.173
Data224,224.0,36.992,44.8,7.808
Data225,225.0,34.559,50.0,15.441
Data226,226.0,38.325,37.6,0.725
Data227,227.0,27.421,31.6,4.179
Data228,228.0,33.705,46.7,12.995
Data229,229.0,28.572,31.5,2.928
Data230,230.0,22.087,24.3,2.213
Data231,231.0,30.025,31.7,1.675
Data232,232.0,38.325,41.7,3.375
Data233,233.0,36.992,48.3,11.308
Data234,234.0,24.927,29.0,4.073
Data235,235.0,22.087,24.0,1.913
Data236,236.0,24.45,25.1,0.65
Data237,237.0,31.066,31.5,0.434
Data238,238.0,25.729,23.7,2.029
Data239,239.0,25.729,23.3,2.429
Data240,240.0,23.785,22.0,1.785
Data241,241.0,22.89,20.1,2.79
Data242,242.0,22.89,22.2,0.69
Data243,243.0,26.941,23.7,3.241
Data244,244.0,21.179,17.6,3.579
Data245,245.0,21.432,18.5,2.932
Data246,246.0,24.357,24.3,0.057
Data247,247.0,24.357,20.5,3.857
Data248,248.0,24.357,24.5,0.143
Data249,249.0,25.729,26.2,0.471
Data250,250.0,26.941,24.4,2.541
Data251,251.0,28.572,24.8,3.772
Data252,252.0,31.066,29.6,1.466
Data253,253.0,38.325,42.8,4.475
Data254,254.0,24.834,21.9,2.934
Data255,255.0,24.357,20.9,3.457
Data256,256.0,38.131,44.0,5.869
Data257,257.0,37.736,50.0,12.264
Data258,258.0,33.886,36.0,2.114
Data259,259.0,31.392,30.1,1.292
Data260,260.0,30.915,33.8,2.885
Data261,261.0,36.49,43.1,6.61
Data262,262.0,37.736,48.8,11.064
Data263,263.0,29.448,31.0,1.552
Data264,264.0,33.886,36.5,2.614
Data265,265.0,27.965,22.8,5.165
Data266,266.0,28.553,30.7,2.147
Data267,267.0,37.736,50.0,12.264
Data268,268.0,39.454,43.5,4.046
Data269,269.0,21.179,20.7,0.479
Data270,270.0,21.179,21.1,0.079
Data271,271.0,24.834,25.2,0.366
Data272,272.0,25.729,24.4,1.329
Data273,273.0,32.074,35.2,3.126
Data274,274.0,32.399,32.4,0.001
Data275,275.0,32.399,32.0,0.399
Data276,276.0,29.435,33.2,3.765
Data277,277.0,31.066,33.1,2.034
Data278,278.0,25.729,29.1,3.371
Data279,279.0,31.775,35.1,3.325
Data280,280.0,36.908,45.4,8.492
Data281,281.0,34.269,35.4,1.131
Data282,282.0,36.908,46.0,9.092
Data283,283.0,42.589,50.0,7.411
Data284,284.0,26.059,32.2,6.141
Data285,285.0,25.721,22.0,3.721
Data286,286.0,23.228,20.1,3.128
Data287,287.0,24.834,23.2,1.634
Data288,288.0,24.834,22.3,2.534
Data289,289.0,25.253,24.8,0.453
Data290,290.0,32.399,28.5,3.899
Data291,291.0,32.399,37.3,4.901
Data292,292.0,28.572,27.9,0.672
Data293,293.0,23.555,23.9,0.345
Data294,294.0,22.087,21.7,0.387
Data295,295.0,24.927,28.6,3.673
Data296,296.0,24.927,27.1,2.173
Data297,297.0,20.377,20.3,0.077
Data298,298.0,26.932,22.5,4.432
Data299,299.0,29.426,29.0,0.426
Data300,300.0,25.721,24.8,0.921
Data301,301.0,25.253,22.0,3.253
Data302,302.0,25.253,26.4,1.147
Data303,303.0,31.066,33.1,2.034
Data304,304.0,28.223,36.1,7.877
Data305,305.0,25.253,28.4,3.147
Data306,306.0,28.223,33.4,5.177
Data307,307.0,25.729,28.2,2.471
Data308,308.0,28.572,22.8,5.772
Data309,309.0,23.555,20.3,3.255
Data310,310.0,20.377,16.1,4.277
Data311,311.0,24.032,22.1,1.932
Data312,312.0,22.087,19.4,2.687
Data313,313.0,24.032,21.6,2.432
Data314,314.0,24.45,23.8,0.65
Data315,315.0,20.377,16.2,4.177
Data316,316.0,20.63,17.8,2.83
Data317,317.0,20.377,19.8,0.577
Data318,318.0,22.087,23.1,1.013
Data319,319.0,22.087,21.0,1.087
Data320,320.0,24.363,23.8,0.563
Data321,321.0,24.363,23.1,1.263
Data322,322.0,23.468,20.4,3.068
Data323,323.0,19.813,18.5,1.313
Data324,324.0,24.363,25.0,0.637
Data325,325.0,28.008,24.6,3.408
Data326,326.0,24.363,23.0,1.363
Data327,327.0,21.524,22.2,0.676
Data328,328.0,23.555,19.3,4.255
Data329,329.0,24.927,22.6,2.327
Data330,330.0,23.555,19.8,3.755
Data331,331.0,21.179,17.1,4.079
Data332,332.0,24.834,19.4,5.434
Data333,333.0,24.363,22.2,2.163
Data334,334.0,24.363,20.7,3.663
Data335,335.0,22.991,21.1,1.891
Data336,336.0,22.991,19.5,3.491
Data337,337.0,21.524,18.5,3.024
Data338,338.0,22.991,20.6,2.391
Data339,339.0,22.991,19.0,3.991
Data340,340.0,22.991,18.7,4.291
Data341,341.0,28.214,32.7,4.486
Data342,342.0,24.441,16.5,7.941
Data343,343.0,25.729,23.9,1.829
Data344,344.0,31.066,31.2,0.134
Data345,345.0,22.89,17.5,5.39
Data346,346.0,21.179,17.2,3.979
Data347,347.0,26.067,23.1,2.967
Data348,348.0,26.067,24.5,1.567
Data349,349.0,25.729,26.6,0.871
Data350,350.0,25.729,22.9,2.829
Data351,351.0,25.729,24.1,1.629
Data352,352.0,24.357,18.6,5.757
Data353,353.0,28.91,30.1,1.19
Data354,354.0,24.686,18.2,6.486
Data355,355.0,25.163,20.6,4.563
Data356,356.0,17.122,17.8,0.678
Data357,357.0,21.019,21.7,0.681
Data358,358.0,21.019,22.7,1.681
Data359,359.0,21.019,22.6,1.581
Data360,360.0,23.382,25.0,1.618
Data361,361.0,19.714,19.9,0.186
Data362,362.0,19.308,20.8,1.492
Data363,363.0,18.004,16.8,1.204
Data364,364.0,28.584,21.9,6.684
Data365,365.0,21.253,27.5,6.247
Data366,366.0,18.004,21.9,3.896
Data367,367.0,18.047,23.1,5.053
Data368,368.0,28.71,50.0,21.29
Data369,369.0,31.316,50.0,18.684
Data370,370.0,33.81,50.0,16.19
Data371,371.0,22.487,50.0,27.513
Data372,372.0,22.487,50.0,27.513
Data373,373.0,13.247,13.8,0.553
Data374,374.0,13.247,13.8,0.553
Data375,375.0,21.914,15.0,6.914
Data376,376.0,13.247,13.9,0.653
Data377,377.0,17.026,13.3,3.726
Data378,378.0,13.247,13.1,0.147
Data379,379.0,13.247,10.2,3.047
Data380,380.0,19.714,10.4,9.314
Data381,381.0,14.509,10.9,3.609
Data382,382.0,13.247,11.3,1.947
Data383,383.0,13.247,12.3,0.947
Data384,384.0,13.247,8.8,4.447
Data385,385.0,13.247,7.2,6.047
Data386,386.0,13.247,10.5,2.747
Data387,387.0,13.247,7.4,5.847
Data388,388.0,13.247,10.2,3.047
Data389,389.0,14.509,11.5,3.009
Data390,390.0,18.004,15.1,2.904
Data391,391.0,15.237,23.2,7.963
Data392,392.0,13.247,9.7,3.547
Data393,393.0,19.127,13.8,5.327
Data394,394.0,18.004,12.7,5.304
Data395,395.0,19.127,13.1,6.027
Data396,396.0,14.509,12.5,2.009
Data397,397.0,14.509,8.5,6.009
Data398,398.0,12.091,5.0,7.091
Data399,399.0,13.247,6.3,6.947
Data400,400.0,13.247,5.6,7.647
Data401,401.0,14.509,7.2,7.309
Data402,402.0,13.247,12.1,1.147
Data403,403.0,14.509,8.3,6.209
Data404,404.0,12.091,8.5,3.591
Data405,405.0,12.091,5.0,7.091
Data406,406.0,13.247,11.9,1.347
Data407,407.0,19.308,27.9,8.592
Data408,408.0,15.013,17.2,2.187
Data409,409.0,15.764,27.5,11.736
Data410,410.0,19.17,15.0,4.17
Data411,411.0,13.247,17.2,3.953
Data412,412.0,13.247,17.9,4.653
Data413,413.0,13.247,16.3,3.053
Data414,414.0,12.091,7.0,5.091
Data415,415.0,13.247,7.2,6.047
Data416,416.0,13.247,7.5,5.747
Data417,417.0,13.247,10.4,2.847
Data418,418.0,12.091,8.8,3.291
Data419,419.0,13.247,8.4,4.847
Data420,420.0,19.714,16.7,3.014
Data421,421.0,16.742,14.2,2.542
Data422,422.0,16.742,20.8,4.058
Data423,423.0,15.013,13.4,1.613
Data424,424.0,18.508,11.7,6.808
Data425,425.0,13.247,8.3,4.947
Data426,426.0,16.742,10.2,6.542
Data427,427.0,17.865,10.9,6.965
Data428,428.0,13.247,11.0,2.247
Data429,429.0,13.247,9.5,3.747
Data430,430.0,17.115,14.5,2.615
Data431,431.0,17.531,14.1,3.431
Data432,432.0,21.524,16.1,5.424
Data433,433.0,18.453,14.3,4.153
Data434,434.0,17.865,11.7,6.165
Data435,435.0,13.247,13.4,0.153
Data436,436.0,17.865,9.6,8.265
Data437,437.0,13.247,8.7,4.547
Data438,438.0,13.247,8.4,4.847
Data439,439.0,13.247,12.8,0.447
Data440,440.0,13.247,10.5,2.747
Data441,441.0,14.509,17.1,2.591
Data442,442.0,18.004,18.4,0.396
Data443,443.0,16.119,15.4,0.719
Data444,444.0,13.247,10.8,2.447
Data445,445.0,13.247,11.8,1.447
Data446,446.0,15.348,14.9,0.448
Data447,447.0,18.004,12.6,5.404
Data448,448.0,16.61,14.1,2.51
Data449,449.0,13.247,13.0,0.247
Data450,450.0,18.453,13.4,5.053
Data451,451.0,19.714,15.2,4.514
Data452,452.0,18.004,16.1,1.904
Data453,453.0,20.61,17.8,2.81
Data454,454.0,17.374,14.9,2.474
Data455,455.0,17.865,14.1,3.765
Data456,456.0,14.857,12.7,2.157
Data457,457.0,16.742,13.5,3.242
Data458,458.0,17.865,14.9,2.965
Data459,459.0,18.004,20.0,1.996
Data460,460.0,18.453,16.4,2.053
Data461,461.0,19.714,17.7,2.014
Data462,462.0,21.019,19.5,1.519
Data463,463.0,21.019,20.2,0.819
Data464,464.0,21.019,21.4,0.381
Data465,465.0,18.004,19.9,1.896
Data466,466.0,16.742,19.0,2.258
Data467,467.0,15.013,19.1,4.087
Data468,468.0,16.61,19.1,2.49
Data469,469.0,18.004,20.1,2.096
Data470,470.0,18.508,19.9,1.392
Data471,471.0,21.524,19.6,1.924
Data472,472.0,20.219,23.2,2.981
Data473,473.0,22.419,29.8,7.381
Data474,474.0,17.115,13.8,3.315
Data475,475.0,15.013,13.3,1.713
Data476,476.0,16.624,16.7,0.076
Data477,477.0,13.247,12.0,1.247
Data478,478.0,16.61,14.6,2.01
Data479,479.0,21.019,21.4,0.381
Data480,480.0,21.524,23.0,1.476
Data481,481.0,23.886,23.7,0.186
Data482,482.0,23.886,25.0,1.114
Data483,483.0,20.936,21.8,0.864
Data484,484.0,19.813,20.6,0.787
Data485,485.0,21.524,21.2,0.324
Data486,486.0,18.508,19.1,0.592
Data487,487.0,20.936,20.6,0.336
Data488,488.0,18.508,15.2,3.308
Data489,489.0,16.407,7.0,9.407
Data490,490.0,16.407,8.1,8.307
Data491,491.0,18.508,13.6,4.908
Data492,492.0,20.936,20.1,0.836
Data493,493.0,19.813,21.8,1.987
Data494,494.0,19.813,24.5,4.687
Data495,495.0,18.508,23.1,4.592
Data496,496.0,17.672,19.7,2.028
Data497,497.0,19.813,18.3,1.513
Data498,498.0,20.936,21.2,0.264
Data499,499.0,18.508,17.5,1.008
Data500,500.0,18.508,16.8,1.708
Data501,501.0,22.419,22.4,0.019
Data502,502.0,21.524,20.6,0.924
Data503,503.0,26.38,23.9,2.48
Data504,504.0,23.886,22.0,1.886
Data505,505.0,22.991,11.9,11.091
