,编号,预测值,实际值,偏差
数据138,138.0,6.473,13.3,6.827
数据139,139.0,7.53,17.8,10.27
数据140,140.0,5.795,14.0,8.205
数据141,141.0,4.098,14.4,10.302
数据142,142.0,5.295,13.4,8.105
数据143,143.0,5.413,15.6,10.187
数据144,144.0,4.916,11.8,6.884
数据145,145.0,5.216,13.8,8.584
数据146,146.0,8.769,15.6,6.831
数据147,147.0,4.978,14.6,9.622
数据148,148.0,5.226,17.8,12.574
数据149,149.0,6.946,15.4,8.454
数据150,150.0,10.638,21.5,10.862
数据151,151.0,11.37,19.6,8.23
数据152,152.0,12.541,15.3,2.759
数据153,153.0,9.69,19.4,9.71
数据154,154.0,10.185,17.0,6.815
数据155,155.0,10.32,15.6,5.28
数据156,156.0,9.665,13.1,3.435
数据157,157.0,34.205,41.3,7.095
数据158,158.0,24.572,24.3,0.272
数据159,159.0,21.516,23.3,1.784
数据160,160.0,29.091,27.0,2.091
数据161,161.0,93.064,50.0,43.064
数据162,162.0,84.375,50.0,34.375
数据163,163.0,49.096,50.0,0.904
数据164,164.0,14.089,22.7,8.611
数据165,165.0,16.82,25.0,8.18
数据166,166.0,44.865,50.0,5.135
数据167,167.0,13.756,23.8,10.044
数据168,168.0,15.135,23.8,8.665
数据169,169.0,14.929,22.3,7.371
数据170,170.0,11.781,17.4,5.619
数据171,171.0,14.214,19.1,4.886
数据172,172.0,11.709,23.1,11.391
数据173,173.0,19.137,23.6,4.463
数据174,174.0,18.05,22.6,4.55
数据175,175.0,32.833,29.4,3.433
数据176,176.0,17.409,23.2,5.791
数据177,177.0,28.14,24.6,3.54
数据178,178.0,25.723,29.9,4.177
数据179,179.0,35.516,37.2,1.684
数据180,180.0,23.81,39.8,15.99
数据181,181.0,19.153,36.2,17.047
数据182,182.0,37.759,37.9,0.141
数据183,183.0,32.218,32.5,0.282
数据184,184.0,13.162,26.4,13.238
数据185,185.0,14.068,29.6,15.532
数据186,186.0,41.798,50.0,8.202
数据187,187.0,27.994,32.0,4.006
数据188,188.0,41.228,29.8,11.428
数据189,189.0,35.065,34.9,0.165
数据190,190.0,37.255,37.0,0.255
数据191,191.0,40.725,30.5,10.225
数据192,192.0,66.899,36.4,30.499
数据193,193.0,38.37,31.1,7.27
数据194,194.0,44.292,29.1,15.192
数据195,195.0,65.657,50.0,15.657
数据196,196.0,48.039,33.3,14.739
数据197,197.0,22.88,30.3,7.42
数据198,198.0,29.909,34.6,4.691
数据199,199.0,43.64,34.9,8.74
数据200,200.0,44.944,32.9,12.044
数据201,201.0,27.052,24.1,2.952
数据202,202.0,64.952,42.3,22.652
数据203,203.0,53.281,48.5,4.781
数据204,204.0,70.833,50.0,20.833
数据205,205.0,18.859,22.6,3.741
数据206,206.0,18.778,24.4,5.622
数据207,207.0,11.462,22.5,11.038
数据208,208.0,14.188,24.4,10.212
数据209,209.0,9.052,20.0,10.948
数据210,210.0,12.16,21.7,9.54
数据211,211.0,8.799,19.3,10.501
数据212,212.0,13.225,22.4,9.175
数据213,213.0,22.708,28.1,5.392
数据214,214.0,7.242,23.7,16.458
数据215,215.0,22.703,25.0,2.297
数据216,216.0,15.988,23.3,7.312
数据217,217.0,22.394,28.7,6.306
数据218,218.0,12.165,21.5,9.335
数据219,219.0,20.857,23.0,2.143
数据220,220.0,22.657,26.7,4.043
数据221,221.0,10.298,21.7,11.402
数据222,222.0,22.356,27.5,5.144
数据223,223.0,29.342,30.1,0.758
数据224,224.0,54.106,44.8,9.306
数据225,225.0,48.596,50.0,1.404
数据226,226.0,72.204,37.6,34.604
数据227,227.0,35.692,31.6,4.092
数据228,228.0,58.163,46.7,11.463
数据229,229.0,60.904,31.5,29.404
数据230,230.0,19.742,24.3,4.558
数据231,231.0,44.0,31.7,12.3
数据232,232.0,93.927,41.7,52.227
数据233,233.0,58.987,48.3,10.687
数据234,234.0,29.068,29.0,0.068
数据235,235.0,21.599,24.0,2.401
数据236,236.0,24.738,25.1,0.362
数据237,237.0,50.106,31.5,18.606
数据238,238.0,37.421,23.7,13.721
数据239,239.0,32.429,23.3,9.129
数据240,240.0,21.09,22.0,0.91
数据241,241.0,19.435,20.1,0.665
数据242,242.0,21.569,22.2,0.631
数据243,243.0,46.821,23.7,23.121
数据244,244.0,19.52,17.6,1.92
数据245,245.0,13.272,18.5,5.228
数据246,246.0,26.856,24.3,2.556
数据247,247.0,24.335,20.5,3.835
数据248,248.0,26.05,24.5,1.55
数据249,249.0,37.957,26.2,11.757
数据250,250.0,42.373,24.4,17.973
数据251,251.0,69.916,24.8,45.116
数据252,252.0,71.388,29.6,41.788
数据253,253.0,71.469,42.8,28.669
数据254,254.0,38.661,21.9,16.761
数据255,255.0,27.568,20.9,6.668
数据256,256.0,82.315,44.0,38.315
数据257,257.0,50.195,50.0,0.195
数据258,258.0,33.119,36.0,2.881
数据259,259.0,37.536,30.1,7.436
数据260,260.0,27.112,33.8,6.688
数据261,261.0,35.95,43.1,7.15
数据262,262.0,44.332,48.8,4.468
数据263,263.0,23.378,31.0,7.622
数据264,264.0,32.593,36.5,3.907
数据265,265.0,25.359,22.8,2.559
数据266,266.0,17.985,30.7,12.715
数据267,267.0,35.887,50.0,14.113
数据268,268.0,84.81,43.5,41.31
数据269,269.0,19.707,20.7,0.993
数据270,270.0,20.769,21.1,0.331
数据271,271.0,41.123,25.2,15.923
数据272,272.0,35.188,24.4,10.788
数据273,273.0,41.489,35.2,6.289
数据274,274.0,77.62,32.4,45.22
数据275,275.0,92.282,32.0,60.282
数据276,276.0,45.62,33.2,12.42
数据277,277.0,66.587,33.1,33.487
数据278,278.0,38.665,29.1,9.565
数据279,279.0,57.526,35.1,22.426
数据280,280.0,74.468,45.4,29.068
数据281,281.0,61.22,35.4,25.82
数据282,282.0,93.688,46.0,47.688
数据283,283.0,89.557,50.0,39.557
数据284,284.0,36.178,32.2,3.978
数据285,285.0,34.629,22.0,12.629
数据286,286.0,22.119,20.1,2.019
数据287,287.0,40.196,23.2,16.996
数据288,288.0,37.895,22.3,15.595
数据289,289.0,30.389,24.8,5.589
数据290,290.0,87.087,28.5,58.587
数据291,291.0,81.742,37.3,44.442
数据292,292.0,62.128,27.9,34.228
数据293,293.0,34.149,23.9,10.249
数据294,294.0,28.269,21.7,6.569
数据295,295.0,47.049,28.6,18.449
数据296,296.0,40.054,27.1,12.954
数据297,297.0,18.75,20.3,1.55
数据298,298.0,59.96,22.5,37.46
数据299,299.0,63.08,29.0,34.08
数据300,300.0,49.423,24.8,24.623
数据301,301.0,31.684,22.0,9.684
数据302,302.0,34.833,26.4,8.433
数据303,303.0,62.346,33.1,29.246
数据304,304.0,43.867,36.1,7.767
数据305,305.0,34.155,28.4,5.755
数据306,306.0,47.295,33.4,13.895
数据307,307.0,40.77,28.2,12.57
数据308,308.0,67.841,22.8,45.041
数据309,309.0,30.993,20.3,10.693
数据310,310.0,24.525,16.1,8.425
数据311,311.0,52.007,22.1,29.907
数据312,312.0,26.621,19.4,7.221
数据313,313.0,39.62,21.6,18.02
数据314,314.0,33.836,23.8,10.036
数据315,315.0,27.391,16.2,11.191
数据316,316.0,17.239,17.8,0.561
数据317,317.0,19.887,19.8,0.087
数据318,318.0,30.695,23.1,7.595
数据319,319.0,25.059,21.0,4.059
数据320,320.0,44.444,23.8,20.644
数据321,321.0,46.725,23.1,23.625
数据322,322.0,41.818,20.4,21.418
数据323,323.0,27.513,18.5,9.013
数据324,324.0,52.941,25.0,27.941
数据325,325.0,63.976,24.6,39.376
数据326,326.0,53.008,23.0,30.008
数据327,327.0,25.567,22.2,3.367
数据328,328.0,32.899,19.3,13.599
数据329,329.0,44.823,22.6,22.223
数据330,330.0,36.304,19.8,16.504
数据331,331.0,26.629,17.1,9.529
数据332,332.0,42.401,19.4,23.001
数据333,333.0,58.627,22.2,36.427
数据334,334.0,49.481,20.7,28.781
数据335,335.0,41.823,21.1,20.723
数据336,336.0,34.286,19.5,14.786
数据337,337.0,31.913,18.5,13.413
数据338,338.0,39.718,20.6,19.118
数据339,339.0,34.805,19.0,15.805
数据340,340.0,36.598,18.7,17.898
数据341,341.0,62.113,32.7,29.413
数据342,342.0,39.538,16.5,23.038
数据343,343.0,47.772,23.9,23.872
数据344,344.0,74.62,31.2,43.42
数据345,345.0,32.764,17.5,15.264
数据346,346.0,27.309,17.2,10.109
数据347,347.0,54.56,23.1,31.46
数据348,348.0,58.097,24.5,33.597
数据349,349.0,59.253,26.6,32.653
数据350,350.0,58.528,22.9,35.628
数据351,351.0,63.934,24.1,39.834
数据352,352.0,45.186,18.6,26.586
数据353,353.0,78.444,30.1,48.344
数据354,354.0,43.975,18.2,25.775
数据355,355.0,63.734,20.6,43.134
数据356,356.0,20.227,17.8,2.427
数据357,357.0,26.903,21.7,5.203
数据358,358.0,31.185,22.7,8.485
数据359,359.0,28.335,22.6,5.735
数据360,360.0,46.213,25.0,21.213
数据361,361.0,25.44,19.9,5.54
数据362,362.0,35.525,20.8,14.725
数据363,363.0,24.795,16.8,7.995
数据364,364.0,68.809,21.9,46.909
数据365,365.0,51.264,27.5,23.764
数据366,366.0,26.143,21.9,4.243
数据367,367.0,27.532,23.1,4.432
数据368,368.0,112.883,50.0,62.883
数据369,369.0,98.928,50.0,48.928
数据370,370.0,125.0,50.0,75.0
数据371,371.0,38.93,50.0,11.07
数据372,372.0,41.892,50.0,8.108
数据373,373.0,10.728,13.8,3.072
数据374,374.0,9.85,13.8,3.95
数据375,375.0,27.902,15.0,12.902
数据376,376.0,16.179,13.9,2.279
数据377,377.0,17.75,13.3,4.45
数据378,378.0,15.956,13.1,2.856
数据379,379.0,17.401,10.2,7.201
数据380,380.0,22.08,10.4,11.68
数据381,381.0,18.074,10.9,7.174
数据382,382.0,16.186,11.3,4.886
数据383,383.0,15.594,12.3,3.294
数据384,384.0,12.537,8.8,3.737
数据385,385.0,12.496,7.2,5.296
数据386,386.0,13.649,10.5,3.149
数据387,387.0,12.098,7.4,4.698
数据388,388.0,12.671,10.2,2.471
数据389,389.0,18.657,11.5,7.157
数据390,390.0,22.794,15.1,7.694
数据391,391.0,20.842,23.2,2.358
数据392,392.0,15.265,9.7,5.565
数据393,393.0,25.906,13.8,12.106
数据394,394.0,24.098,12.7,11.398
数据395,395.0,23.072,13.1,9.972
数据396,396.0,20.444,12.5,7.944
数据397,397.0,19.93,8.5,11.43
数据398,398.0,13.011,5.0,8.011
数据399,399.0,13.313,6.3,7.013
数据400,400.0,14.942,5.6,9.342
数据401,401.0,19.734,7.2,12.534
数据402,402.0,19.793,12.1,7.693
数据403,403.0,20.384,8.3,12.084
数据404,404.0,14.755,8.5,6.255
数据405,405.0,17.624,5.0,12.624
数据406,406.0,17.395,11.9,5.495
数据407,407.0,33.553,27.9,5.653
数据408,408.0,15.455,17.2,1.745
数据409,409.0,20.677,27.5,6.823
数据410,410.0,40.554,15.0,25.554
数据411,411.0,19.369,17.2,2.169
数据412,412.0,11.987,17.9,5.913
数据413,413.0,20.568,16.3,4.268
数据414,414.0,11.195,7.0,4.195
数据415,415.0,14.286,7.2,7.086
数据416,416.0,16.13,7.5,8.63
数据417,417.0,15.653,10.4,5.253
数据418,418.0,20.272,8.8,11.472
数据419,419.0,18.426,8.4,10.026
数据420,420.0,27.963,16.7,11.263
数据421,421.0,26.815,14.2,12.615
数据422,422.0,29.929,20.8,9.129
数据423,423.0,18.162,13.4,4.762
数据424,424.0,24.709,11.7,13.009
数据425,425.0,17.425,8.3,9.125
数据426,426.0,27.151,10.2,16.951
数据427,427.0,29.408,10.9,18.508
数据428,428.0,19.888,11.0,8.888
数据429,429.0,17.816,9.5,8.316
数据430,430.0,24.376,14.5,9.876
数据431,431.0,21.889,14.1,7.789
数据432,432.0,35.91,16.1,19.81
数据433,433.0,26.695,14.3,12.395
数据434,434.0,28.609,11.7,16.909
数据435,435.0,18.694,13.4,5.294
数据436,436.0,24.155,9.6,14.555
数据437,437.0,16.522,8.7,7.822
数据438,438.0,12.875,8.4,4.475
数据439,439.0,19.187,12.8,6.387
数据440,440.0,19.9,10.5,9.4
数据441,441.0,22.592,17.1,5.492
数据442,442.0,26.643,18.4,8.243
数据443,443.0,23.501,15.4,8.101
数据444,444.0,18.663,10.8,7.863
数据445,445.0,18.557,11.8,6.757
数据446,446.0,25.07,14.9,10.17
数据447,447.0,27.19,12.6,14.59
数据448,448.0,24.71,14.1,10.61
数据449,449.0,23.252,13.0,10.252
数据450,450.0,25.803,13.4,12.403
数据451,451.0,25.437,15.2,10.237
数据452,452.0,26.173,16.1,10.073
数据453,453.0,27.061,17.8,9.261
数据454,454.0,24.265,14.9,9.365
数据455,455.0,25.097,14.1,10.997
数据456,456.0,23.987,12.7,11.287
数据457,457.0,26.978,13.5,13.478
数据458,458.0,28.219,14.9,13.319
数据459,459.0,31.224,20.0,11.224
数据460,460.0,28.015,16.4,11.615
数据461,461.0,31.468,17.7,13.768
数据462,462.0,33.024,19.5,13.524
数据463,463.0,44.995,20.2,24.795
数据464,464.0,35.098,21.4,13.698
数据465,465.0,32.909,19.9,13.009
数据466,466.0,27.172,19.0,8.172
数据467,467.0,21.904,19.1,2.804
数据468,468.0,25.814,19.1,6.714
数据469,469.0,31.775,20.1,11.675
数据470,470.0,28.852,19.9,8.952
数据471,471.0,36.597,19.6,16.997
数据472,472.0,32.869,23.2,9.669
数据473,473.0,40.566,29.8,10.766
数据474,474.0,26.13,13.8,12.33
数据475,475.0,19.71,13.3,6.41
数据476,476.0,25.482,16.7,8.782
数据477,477.0,19.149,12.0,7.149
数据478,478.0,26.511,14.6,11.911
数据479,479.0,36.537,21.4,15.137
数据480,480.0,44.693,23.0,21.693
数据481,481.0,62.145,23.7,38.445
数据482,482.0,68.759,25.0,43.759
数据483,483.0,46.353,21.8,24.553
数据484,484.0,36.282,20.6,15.682
数据485,485.0,45.841,21.2,24.641
数据486,486.0,32.443,19.1,13.343
数据487,487.0,42.533,20.6,21.933
数据488,488.0,27.021,15.2,11.821
数据489,489.0,20.401,7.0,13.401
数据490,490.0,16.509,8.1,8.409
数据491,491.0,27.172,13.6,13.572
数据492,492.0,36.854,20.1,16.754
数据493,493.0,41.049,21.8,19.249
数据494,494.0,36.35,24.5,11.85
数据495,495.0,28.125,23.1,5.025
数据496,496.0,23.463,19.7,3.763
数据497,497.0,35.248,18.3,16.948
数据498,498.0,38.545,21.2,17.345
数据499,499.0,33.046,17.5,15.546
数据500,500.0,34.892,16.8,18.092
数据501,501.0,51.81,22.4,29.41
数据502,502.0,55.286,20.6,34.686
数据503,503.0,89.184,23.9,65.284
数据504,504.0,77.778,22.0,55.778
数据505,505.0,64.086,11.9,52.186
