,Num,Predicted Val,Actual Val,Bias
Data72,72.0,23.629,22.8,0.829
Data73,73.0,22.146,23.4,1.254
Data74,74.0,22.146,24.1,1.954
Data75,75.0,22.146,21.4,0.746
Data76,76.0,22.146,20.0,2.146
Data77,77.0,22.146,20.8,1.346
Data78,78.0,22.146,21.2,0.946
Data79,79.0,22.146,20.3,1.846
Data80,80.0,24.89,28.0,3.11
Data81,81.0,23.407,23.9,0.493
Data82,82.0,23.629,24.8,1.171
Data83,83.0,22.146,22.9,0.754
Data84,84.0,23.407,23.9,0.493
Data85,85.0,24.89,26.6,1.71
Data86,86.0,22.146,22.5,0.354
Data87,87.0,22.146,22.2,0.054
Data88,88.0,29.499,23.6,5.899
Data89,89.0,29.499,28.7,0.799
Data90,90.0,23.407,22.6,0.807
Data91,91.0,23.407,22.0,1.407
Data92,92.0,23.407,22.9,0.507
Data93,93.0,23.629,25.0,1.371
Data94,94.0,22.146,20.6,1.546
Data95,95.0,23.407,28.4,4.993
Data96,96.0,22.146,21.4,0.746
Data97,97.0,40.858,38.7,2.158
Data98,98.0,43.093,43.8,0.707
Data99,99.0,38.191,33.2,4.991
Data100,100.0,22.351,27.5,5.149
Data101,101.0,22.351,26.5,4.149
Data102,102.0,22.351,18.6,3.751
Data103,103.0,18.036,19.3,1.264
Data104,104.0,20.547,20.1,0.447
Data105,105.0,17.723,19.5,1.777
Data106,106.0,16.523,19.5,2.977
Data107,107.0,16.869,20.4,3.531
Data108,108.0,22.351,19.8,2.551
Data109,109.0,18.036,19.4,1.364
Data110,110.0,20.547,21.7,1.153
Data111,111.0,23.407,22.8,0.607
Data112,112.0,20.394,18.8,1.594
Data113,113.0,18.882,18.7,0.182
Data114,114.0,21.603,18.5,3.103
Data115,115.0,18.847,18.3,0.547
Data116,116.0,21.603,21.2,0.403
Data117,117.0,21.603,19.2,2.403
Data118,118.0,18.847,20.4,1.553
Data119,119.0,20.394,19.3,1.094
Data120,120.0,20.394,22.0,1.606
Data121,121.0,18.847,20.3,1.453
Data122,122.0,17.334,20.5,3.166
Data123,123.0,17.334,17.3,0.034
Data124,124.0,17.334,18.8,1.466
Data125,125.0,18.847,21.4,2.553
Data126,126.0,17.334,15.7,1.634
Data127,127.0,16.869,16.2,0.669
Data128,128.0,18.672,18.0,0.672
Data129,129.0,16.21,14.3,1.91
Data130,130.0,22.351,19.2,3.151
Data131,131.0,20.547,19.6,0.947
Data132,132.0,22.351,23.0,0.649
Data133,133.0,18.036,18.4,0.364
Data134,134.0,16.869,15.6,1.269
Data135,135.0,18.036,18.1,0.064
Data136,136.0,16.869,17.4,0.531
Data137,137.0,18.672,17.1,1.572
Data138,138.0,15.356,13.3,2.056
Data139,139.0,15.356,17.8,2.444
Data140,140.0,15.356,14.0,1.356
Data141,141.0,13.938,14.4,0.462
Data142,142.0,19.767,13.4,6.367
Data143,143.0,19.224,15.6,3.624
Data144,144.0,19.224,11.8,7.424
Data145,145.0,19.224,13.8,5.424
Data146,146.0,19.224,15.6,3.624
Data147,147.0,19.224,14.6,4.624
Data148,148.0,19.224,17.8,1.424
Data149,149.0,19.224,15.4,3.824
Data150,150.0,19.224,21.5,2.276
Data151,151.0,19.224,19.6,0.376
Data152,152.0,23.706,15.3,8.406
Data153,153.0,19.224,19.4,0.176
Data154,154.0,19.767,17.0,2.767
Data155,155.0,19.767,15.6,4.167
Data156,156.0,19.224,13.1,6.124
Data157,157.0,29.295,41.3,12.005
Data158,158.0,24.646,24.3,0.346
Data159,159.0,23.784,23.3,0.484
Data160,160.0,25.189,27.0,1.811
Data161,161.0,43.82,50.0,6.18
Data162,162.0,41.455,50.0,8.545
Data163,163.0,42.291,50.0,7.709
Data164,164.0,23.163,22.7,0.463
Data165,165.0,23.163,25.0,1.837
Data166,166.0,44.656,50.0,5.344
Data167,167.0,23.163,23.8,0.637
Data168,168.0,23.163,23.8,0.637
Data169,169.0,24.967,22.3,2.667
Data170,170.0,19.224,17.4,1.824
Data171,171.0,23.163,19.1,4.063
Data172,172.0,20.772,23.1,2.328
Data173,173.0,23.784,23.6,0.184
Data174,174.0,21.98,22.6,0.62
Data175,175.0,25.267,29.4,4.133
Data176,176.0,21.98,23.2,1.22
Data177,177.0,23.464,24.6,1.136
Data178,178.0,29.295,29.9,0.605
Data179,179.0,29.499,37.2,7.701
Data180,180.0,40.858,39.8,1.058
Data181,181.0,22.146,36.2,14.054
Data182,182.0,31.864,37.9,6.036
Data183,183.0,24.89,32.5,7.61
Data184,184.0,20.937,26.4,5.463
Data185,185.0,21.647,29.6,7.953
Data186,186.0,43.093,50.0,6.907
Data187,187.0,28.306,32.0,3.694
Data188,188.0,26.45,29.8,3.35
Data189,189.0,30.477,34.9,4.423
Data190,190.0,30.477,37.0,6.523
Data191,191.0,28.306,30.5,2.194
Data192,192.0,30.477,36.4,5.923
Data193,193.0,28.306,31.1,2.794
Data194,194.0,26.45,29.1,2.65
Data195,195.0,44.656,50.0,5.344
Data196,196.0,30.477,33.3,2.823
Data197,197.0,28.994,30.3,1.306
Data198,198.0,28.994,34.6,5.606
Data199,199.0,30.477,34.9,4.423
Data200,200.0,30.477,32.9,2.423
Data201,201.0,23.706,24.1,0.394
Data202,202.0,39.624,42.3,2.676
Data203,203.0,44.656,48.5,3.844
Data204,204.0,44.656,50.0,5.344
Data205,205.0,22.146,22.6,0.454
Data206,206.0,22.146,24.4,2.254
Data207,207.0,19.425,22.5,3.075
Data208,208.0,21.315,24.4,3.085
Data209,209.0,21.315,20.0,1.315
Data210,210.0,21.315,21.7,0.385
Data211,211.0,21.315,19.3,2.015
Data212,212.0,21.315,22.4,1.085
Data213,213.0,23.407,28.1,4.693
Data214,214.0,19.425,23.7,4.275
Data215,215.0,22.146,25.0,2.854
Data216,216.0,21.315,23.3,1.985
Data217,217.0,23.784,28.7,4.916
Data218,218.0,21.315,21.5,0.185
Data219,219.0,24.967,23.0,1.967
Data220,220.0,28.994,26.7,2.294
Data221,221.0,21.315,21.7,0.385
Data222,222.0,28.994,27.5,1.494
Data223,223.0,23.784,30.1,6.316
Data224,224.0,44.656,44.8,0.144
Data225,225.0,44.656,50.0,5.344
Data226,226.0,44.656,37.6,7.056
Data227,227.0,29.295,31.6,2.305
Data228,228.0,41.988,46.7,4.712
Data229,229.0,25.267,31.5,6.233
Data230,230.0,21.98,24.3,2.32
Data231,231.0,41.988,31.7,10.288
Data232,232.0,44.656,41.7,2.956
Data233,233.0,44.656,48.3,3.644
Data234,234.0,26.823,29.0,2.177
Data235,235.0,21.98,24.0,2.02
Data236,236.0,24.967,25.1,0.133
Data237,237.0,37.556,31.5,6.056
Data238,238.0,25.267,23.7,1.567
Data239,239.0,23.784,23.3,0.484
Data240,240.0,27.811,22.0,5.811
Data241,241.0,22.523,20.1,2.423
Data242,242.0,23.784,22.2,1.584
Data243,243.0,25.267,23.7,1.567
Data244,244.0,22.146,17.6,4.546
Data245,245.0,19.425,18.5,0.925
Data246,246.0,22.146,24.3,2.154
Data247,247.0,22.146,20.5,1.646
Data248,248.0,23.407,24.5,1.093
Data249,249.0,24.89,26.2,1.31
Data250,250.0,24.89,24.4,0.49
Data251,251.0,24.89,24.8,0.09
Data252,252.0,33.438,29.6,3.838
Data253,253.0,43.093,42.8,0.293
Data254,254.0,21.293,21.9,0.607
Data255,255.0,21.293,20.9,0.393
Data256,256.0,39.624,44.0,4.376
Data257,257.0,43.345,50.0,6.655
Data258,258.0,31.66,36.0,4.34
Data259,259.0,28.306,30.1,1.794
Data260,260.0,32.842,33.8,0.958
Data261,261.0,40.678,43.1,2.422
Data262,262.0,43.345,48.8,5.455
Data263,263.0,31.66,31.0,0.66
Data264,264.0,31.66,36.5,4.84
Data265,265.0,23.163,22.8,0.363
Data266,266.0,25.055,30.7,5.645
Data267,267.0,43.345,50.0,6.655
Data268,268.0,43.82,43.5,0.32
Data269,269.0,21.315,20.7,0.615
Data270,270.0,22.146,21.1,1.046
Data271,271.0,23.629,25.2,1.571
Data272,272.0,23.407,24.4,0.993
Data273,273.0,40.678,35.2,5.478
Data274,274.0,30.671,32.4,1.729
Data275,275.0,29.295,32.0,2.705
Data276,276.0,32.842,33.2,0.358
Data277,277.0,32.842,33.1,0.258
Data278,278.0,23.784,29.1,5.316
Data279,279.0,28.306,35.1,6.794
Data280,280.0,44.656,45.4,0.744
Data281,281.0,30.477,35.4,4.923
Data282,282.0,43.82,46.0,2.18
Data283,283.0,44.656,50.0,5.344
Data284,284.0,28.994,32.2,3.206
Data285,285.0,24.967,22.0,2.967
Data286,286.0,20.916,20.1,0.816
Data287,287.0,22.523,23.2,0.677
Data288,288.0,22.523,22.3,0.223
Data289,289.0,24.967,24.8,0.167
Data290,290.0,30.424,28.5,1.924
Data291,291.0,30.424,37.3,6.876
Data292,292.0,24.89,27.9,3.01
Data293,293.0,22.523,23.9,1.377
Data294,294.0,22.523,21.7,0.823
Data295,295.0,26.45,28.6,2.15
Data296,296.0,23.784,27.1,3.316
Data297,297.0,21.315,20.3,1.015
Data298,298.0,26.45,22.5,3.95
Data299,299.0,30.477,29.0,1.477
Data300,300.0,30.477,24.8,5.677
Data301,301.0,24.967,22.0,2.967
Data302,302.0,24.967,26.4,1.433
Data303,303.0,30.477,33.1,2.623
Data304,304.0,29.499,36.1,6.601
Data305,305.0,23.407,28.4,4.993
Data306,306.0,38.191,33.4,4.791
Data307,307.0,28.015,28.2,0.185
Data308,308.0,24.89,22.8,2.09
Data309,309.0,21.603,20.3,1.303
Data310,310.0,21.603,16.1,5.503
Data311,311.0,23.086,22.1,0.986
Data312,312.0,21.603,19.4,2.203
Data313,313.0,21.603,21.6,0.003
Data314,314.0,23.407,23.8,0.393
Data315,315.0,21.603,16.2,5.403
Data316,316.0,18.882,17.8,1.082
Data317,317.0,20.394,19.8,0.594
Data318,318.0,23.407,23.1,0.307
Data319,319.0,21.603,21.0,0.603
Data320,320.0,23.407,23.8,0.393
Data321,321.0,24.89,23.1,1.79
Data322,322.0,22.146,20.4,1.746
Data323,323.0,22.146,18.5,3.646
Data324,324.0,24.89,25.0,0.11
Data325,325.0,24.89,24.6,0.29
Data326,326.0,23.629,23.0,0.629
Data327,327.0,22.146,22.2,0.054
Data328,328.0,22.523,19.3,3.223
Data329,329.0,22.523,22.6,0.077
Data330,330.0,22.523,19.8,2.723
Data331,331.0,22.523,17.1,5.423
Data332,332.0,22.523,19.4,3.123
Data333,333.0,22.031,22.2,0.169
Data334,334.0,22.031,20.7,1.331
Data335,335.0,20.547,21.1,0.553
Data336,336.0,20.547,19.5,1.047
Data337,337.0,20.547,18.5,2.047
Data338,338.0,20.547,20.6,0.053
Data339,339.0,20.547,19.0,1.547
Data340,340.0,20.547,18.7,1.847
Data341,341.0,30.477,32.7,2.223
Data342,342.0,23.784,16.5,7.284
Data343,343.0,25.64,23.9,1.74
Data344,344.0,30.477,31.2,0.723
Data345,345.0,22.146,17.5,4.646
Data346,346.0,22.146,17.2,4.946
Data347,347.0,24.89,23.1,1.79
Data348,348.0,25.267,24.5,0.767
Data349,349.0,28.015,26.6,1.415
Data350,350.0,22.351,22.9,0.549
Data351,351.0,24.89,24.1,0.79
Data352,352.0,22.146,18.6,3.546
Data353,353.0,27.123,30.1,2.977
Data354,354.0,21.09,18.2,2.89
Data355,355.0,22.574,20.6,1.974
Data356,356.0,18.538,17.8,0.738
Data357,357.0,25.172,21.7,3.472
Data358,358.0,22.476,22.7,0.224
Data359,359.0,19.86,22.6,2.74
Data360,360.0,19.938,25.0,5.062
Data361,361.0,16.182,19.9,3.718
Data362,362.0,19.86,20.8,0.94
Data363,363.0,18.538,16.8,1.738
Data364,364.0,29.744,21.9,7.844
Data365,365.0,21.043,27.5,6.457
Data366,366.0,16.182,21.9,5.718
Data367,367.0,16.182,23.1,6.918
Data368,368.0,21.344,50.0,28.656
Data369,369.0,34.583,50.0,15.417
Data370,370.0,34.583,50.0,15.417
Data371,371.0,19.86,50.0,30.14
Data372,372.0,34.986,50.0,15.014
Data373,373.0,12.216,13.8,1.584
Data374,374.0,12.216,13.8,1.584
Data375,375.0,16.259,15.0,1.259
Data376,376.0,14.746,13.9,0.846
Data377,377.0,14.746,13.3,1.446
Data378,378.0,14.746,13.1,1.646
Data379,379.0,14.669,10.2,4.469
Data380,380.0,16.259,10.4,5.859
Data381,381.0,14.746,10.9,3.846
Data382,382.0,14.669,11.3,3.369
Data383,383.0,14.669,12.3,2.369
Data384,384.0,12.216,8.8,3.416
Data385,385.0,12.216,7.2,5.016
Data386,386.0,12.216,10.5,1.716
Data387,387.0,12.216,7.4,4.816
Data388,388.0,12.216,10.2,2.016
Data389,389.0,14.669,11.5,3.169
Data390,390.0,16.182,15.1,1.082
Data391,391.0,14.669,23.2,8.531
Data392,392.0,13.633,9.7,3.933
Data393,393.0,16.182,13.8,2.382
Data394,394.0,16.182,12.7,3.482
Data395,395.0,16.259,13.1,3.159
Data396,396.0,14.746,12.5,2.246
Data397,397.0,14.669,8.5,6.169
Data398,398.0,12.216,5.0,7.216
Data399,399.0,12.216,6.3,5.916
Data400,400.0,13.633,5.6,8.033
Data401,401.0,14.669,7.2,7.469
Data402,402.0,14.746,12.1,2.646
Data403,403.0,14.669,8.3,6.369
Data404,404.0,13.633,8.5,5.133
Data405,405.0,14.669,5.0,9.669
Data406,406.0,14.669,11.9,2.769
Data407,407.0,19.86,27.9,8.04
Data408,408.0,14.32,17.2,2.88
Data409,409.0,14.746,27.5,12.754
Data410,410.0,20.547,15.0,5.547
Data411,411.0,14.746,17.2,2.454
Data412,412.0,12.902,17.9,4.998
Data413,413.0,15.356,16.3,0.944
Data414,414.0,12.216,7.0,5.216
Data415,415.0,12.293,7.2,5.093
Data416,416.0,13.71,7.5,6.21
Data417,417.0,13.633,10.4,3.233
Data418,418.0,14.669,8.8,5.869
Data419,419.0,14.746,8.4,6.346
Data420,420.0,16.259,16.7,0.441
Data421,421.0,16.182,14.2,1.982
Data422,422.0,16.182,20.8,4.618
Data423,423.0,14.669,13.4,1.269
Data424,424.0,16.869,11.7,5.169
Data425,425.0,13.633,8.3,5.333
Data426,426.0,16.869,10.2,6.669
Data427,427.0,16.182,10.9,5.282
Data428,428.0,14.669,11.0,3.669
Data429,429.0,14.746,9.5,5.246
Data430,430.0,16.259,14.5,1.759
Data431,431.0,14.746,14.1,0.646
Data432,432.0,19.938,16.1,3.838
Data433,433.0,16.259,14.3,1.959
Data434,434.0,16.182,11.7,4.482
Data435,435.0,14.746,13.4,1.346
Data436,436.0,16.259,9.6,6.659
Data437,437.0,13.633,8.7,4.933
Data438,438.0,12.216,8.4,3.816
Data439,439.0,14.669,12.8,1.869
Data440,440.0,14.669,10.5,4.169
Data441,441.0,14.746,17.1,2.354
Data442,442.0,17.036,18.4,1.364
Data443,443.0,14.746,15.4,0.654
Data444,444.0,14.669,10.8,3.869
Data445,445.0,14.746,11.8,2.946
Data446,446.0,16.182,14.9,1.282
Data447,447.0,17.036,12.6,4.436
Data448,448.0,18.069,14.1,3.969
Data449,449.0,14.746,13.0,1.746
Data450,450.0,16.259,13.4,2.859
Data451,451.0,16.259,15.2,1.059
Data452,452.0,18.069,16.1,1.969
Data453,453.0,17.113,17.8,0.687
Data454,454.0,14.746,14.9,0.154
Data455,455.0,16.259,14.1,2.159
Data456,456.0,14.669,12.7,1.969
Data457,457.0,16.182,13.5,2.682
Data458,458.0,16.182,14.9,1.282
Data459,459.0,18.069,20.0,1.931
Data460,460.0,16.259,16.4,0.141
Data461,461.0,18.146,17.7,0.446
Data462,462.0,18.069,19.5,1.431
Data463,463.0,19.938,20.2,0.262
Data464,464.0,19.86,21.4,1.54
Data465,465.0,16.182,19.9,3.718
Data466,466.0,16.182,19.0,2.818
Data467,467.0,15.356,19.1,3.744
Data468,468.0,18.756,19.1,0.344
Data469,469.0,18.756,20.1,1.344
Data470,470.0,18.756,19.9,1.144
Data471,471.0,20.547,19.6,0.947
Data472,472.0,18.146,23.2,5.054
Data473,473.0,19.938,29.8,9.862
Data474,474.0,16.869,13.8,3.069
Data475,475.0,14.32,13.3,1.02
Data476,476.0,16.633,16.7,0.067
Data477,477.0,13.633,12.0,1.633
Data478,478.0,16.182,14.6,1.582
Data479,479.0,19.86,21.4,1.54
Data480,480.0,20.547,23.0,2.453
Data481,481.0,19.938,23.7,3.762
Data482,482.0,19.938,25.0,5.062
Data483,483.0,20.547,21.8,1.253
Data484,484.0,18.756,20.6,1.844
Data485,485.0,20.547,21.2,0.653
Data486,486.0,18.756,19.1,0.344
Data487,487.0,20.547,20.6,0.053
Data488,488.0,15.356,15.2,0.156
Data489,489.0,15.356,7.0,8.356
Data490,490.0,13.938,8.1,5.838
Data491,491.0,15.356,13.6,1.756
Data492,492.0,19.339,20.1,0.761
Data493,493.0,21.603,21.8,0.197
Data494,494.0,20.394,24.5,4.106
Data495,495.0,18.882,23.1,4.218
Data496,496.0,18.882,19.7,0.818
Data497,497.0,20.394,18.3,2.094
Data498,498.0,21.603,21.2,0.403
Data499,499.0,20.394,17.5,2.894
Data500,500.0,20.394,16.8,3.594
Data501,501.0,22.351,22.4,0.049
Data502,502.0,20.547,20.6,0.053
Data503,503.0,29.499,23.9,5.599
Data504,504.0,22.351,22.0,0.351
Data505,505.0,20.547,11.9,8.647
